CRIM,ZN,INDUS,CHAS,RM,PTRATIO,MEDV
0.00632,18.0,2.31,0,6,15.3,24.0
0.02731,0.0,7.07,0,6,17.8,21.6
0.02729,0.0,7.07,0,7,17.8,34.7
0.03237,0.0,2.18,0,6,18.7,33.4
0.06905,0.0,2.18,0,7,18.7,36.2
0.02985,0.0,2.18,0,6,18.7,28.7
0.08829,12.5,7.87,0,6,15.2,22.9
0.14455,12.5,7.87,0,6,15.2,22.1
0.21124,12.5,7.87,0,5,15.2,16.5
0.17004,12.5,7.87,0,6,15.2,18.9
0.22489,12.5,7.87,0,6,15.2,15.0
0.11747,12.5,7.87,0,6,15.2,18.9
0.09378,12.5,7.87,0,5,15.2,21.7
0.62976,0.0,8.14,0,5,21.0,20.4
0.63796,0.0,8.14,0,6,21.0,18.2
0.62739,0.0,8.14,0,5,21.0,19.9
1.05393,0.0,8.14,0,5,21.0,23.1
0.7842,0.0,8.14,0,5,21.0,17.5
0.80271,0.0,8.14,0,5,21.0,20.2
0.7258,0.0,8.14,0,5,21.0,18.2
1.25179,0.0,8.14,0,5,21.0,13.6
0.85204,0.0,8.14,0,5,21.0,19.6
1.23247,0.0,8.14,0,6,21.0,15.2
0.98843,0.0,8.14,0,5,21.0,14.5
0.75026,0.0,8.14,0,5,21.0,15.6
0.84054,0.0,8.14,0,5,21.0,13.9
0.67191,0.0,8.14,0,5,21.0,16.6
0.95577,0.0,8.14,0,6,21.0,14.8
0.77299,0.0,8.14,0,6,21.0,18.4
1.00245,0.0,8.14,0,6,21.0,21.0
1.13081,0.0,8.14,0,5,21.0,12.7
1.35472,0.0,8.14,0,6,21.0,14.5
1.38799,0.0,8.14,0,5,21.0,13.2
1.15172,0.0,8.14,0,5,21.0,13.1
1.61282,0.0,8.14,0,6,21.0,13.5
0.06417,0.0,5.96,0,5,19.2,18.9
0.09744,0.0,5.96,0,5,19.2,20.0
0.08014,0.0,5.96,0,5,19.2,21.0
0.17505,0.0,5.96,0,5,19.2,24.2
0.02763,75.0,2.95,0,6,18.3,30.8
0.03359,75.0,2.95,0,7,18.3,34.9
0.12744,0.0,6.91,0,6,17.9,26.6
0.1415,0.0,6.91,0,6,17.9,25.3
0.15936,0.0,6.91,0,6,17.9,24.7
0.12269,0.0,6.91,0,6,17.9,21.2
0.17142,0.0,6.91,0,5,17.9,19.3
0.18836,0.0,6.91,0,5,17.9,20.0
0.22927,0.0,6.91,0,6,17.9,16.6
0.25387,0.0,6.91,0,5,17.9,14.4
0.21977,0.0,6.91,0,5,17.9,19.4
0.08873,21.0,5.64,0,5,16.8,19.7
0.04337,21.0,5.64,0,6,16.8,20.5
0.0536,21.0,5.64,0,6,16.8,25.0
0.04981,21.0,5.64,0,5,16.8,23.4
0.0136,75.0,4.0,0,5,21.1,18.9
0.01311,90.0,1.22,0,7,17.9,35.4
0.02055,85.0,0.74,0,6,17.3,24.7
0.01432,100.0,1.32,0,6,15.1,31.6
0.15445,25.0,5.13,0,6,19.7,23.3
0.10328,25.0,5.13,0,5,19.7,19.6
0.14932,25.0,5.13,0,5,19.7,18.7
0.17171,25.0,5.13,0,5,19.7,16.0
0.11027,25.0,5.13,0,6,19.7,22.2
0.1265,25.0,5.13,0,6,19.7,25.0
0.01951,17.5,1.38,0,7,18.6,33.0
0.03584,80.0,3.37,0,6,16.1,23.5
0.04379,80.0,3.37,0,5,16.1,19.4
0.05789,12.5,6.07,0,5,18.9,22.0
0.13554,12.5,6.07,0,5,18.9,17.4
0.12816,12.5,6.07,0,5,18.9,20.9
0.08826,0.0,10.81,0,6,19.2,24.2
0.15876,0.0,10.81,0,5,19.2,21.7
0.09164,0.0,10.81,0,6,19.2,22.8
0.19539,0.0,10.81,0,6,19.2,23.4
0.07896,0.0,12.83,0,6,18.7,24.1
0.09512,0.0,12.83,0,6,18.7,21.4
0.10153,0.0,12.83,0,6,18.7,20.0
0.08707,0.0,12.83,0,6,18.7,20.8
0.05646,0.0,12.83,0,6,18.7,21.2
0.08387,0.0,12.83,0,5,18.7,20.3
0.04113,25.0,4.86,0,6,19.0,28.0
0.04462,25.0,4.86,0,6,19.0,23.9
0.03659,25.0,4.86,0,6,19.0,24.8
0.03551,25.0,4.86,0,6,19.0,22.9
0.05059,0.0,4.49,0,6,18.5,23.9
0.05735,0.0,4.49,0,6,18.5,26.6
0.05188,0.0,4.49,0,6,18.5,22.5
0.07151,0.0,4.49,0,6,18.5,22.2
0.0566,0.0,3.41,0,7,17.8,23.6
0.05302,0.0,3.41,0,7,17.8,28.7
0.04684,0.0,3.41,0,6,17.8,22.6
0.03932,0.0,3.41,0,6,17.8,22.0
0.04203,28.0,15.04,0,6,18.2,22.9
0.02875,28.0,15.04,0,6,18.2,25.0
0.04294,28.0,15.04,0,6,18.2,20.6
0.12204,0.0,2.89,0,6,18.0,28.4
0.11504,0.0,2.89,0,6,18.0,21.4
0.12083,0.0,2.89,0,8,18.0,38.7
0.08187,0.0,2.89,0,7,18.0,43.8
0.0686,0.0,2.89,0,7,18.0,33.2
0.14866,0.0,8.56,0,6,20.9,27.5
0.11432,0.0,8.56,0,6,20.9,26.5
0.22876,0.0,8.56,0,6,20.9,18.6
0.21161,0.0,8.56,0,6,20.9,19.3
0.1396,0.0,8.56,0,6,20.9,20.1
0.13262,0.0,8.56,0,5,20.9,19.5
0.1712,0.0,8.56,0,5,20.9,19.5
0.13117,0.0,8.56,0,6,20.9,20.4
0.12802,0.0,8.56,0,6,20.9,19.8
0.26363,0.0,8.56,0,6,20.9,19.4
0.10793,0.0,8.56,0,6,20.9,21.7
0.10084,0.0,10.01,0,6,17.8,22.8
0.12329,0.0,10.01,0,5,17.8,18.8
0.22212,0.0,10.01,0,6,17.8,18.7
0.14231,0.0,10.01,0,6,17.8,18.5
0.17134,0.0,10.01,0,5,17.8,18.3
0.13158,0.0,10.01,0,6,17.8,21.2
0.15098,0.0,10.01,0,6,17.8,19.2
0.13058,0.0,10.01,0,5,17.8,20.4
0.14476,0.0,10.01,0,5,17.8,19.3
0.06899,0.0,25.65,0,5,19.1,22.0
0.07165,0.0,25.65,0,6,19.1,20.3
0.09299,0.0,25.65,0,5,19.1,20.5
0.15038,0.0,25.65,0,5,19.1,17.3
0.09849,0.0,25.65,0,5,19.1,18.8
0.16902,0.0,25.65,0,5,19.1,21.4
0.38735,0.0,25.65,0,5,19.1,15.7
0.25915,0.0,21.89,0,5,21.2,16.2
0.32543,0.0,21.89,0,6,21.2,18.0
0.88125,0.0,21.89,0,5,21.2,14.3
0.34006,0.0,21.89,0,6,21.2,19.2
1.19294,0.0,21.89,0,6,21.2,19.6
0.59005,0.0,21.89,0,6,21.2,23.0
0.32982,0.0,21.89,0,5,21.2,18.4
0.97617,0.0,21.89,0,5,21.2,15.6
0.55778,0.0,21.89,0,6,21.2,18.1
0.32264,0.0,21.89,0,5,21.2,17.4
0.35233,0.0,21.89,0,6,21.2,17.1
0.2498,0.0,21.89,0,5,21.2,13.3
0.54452,0.0,21.89,0,6,21.2,17.8
0.2909,0.0,21.89,0,6,21.2,14.0
1.62864,0.0,21.89,0,5,21.2,14.4
3.32105,0.0,19.58,1,5,14.7,13.4
4.0974,0.0,19.58,0,5,14.7,15.6
2.77974,0.0,19.58,0,4,14.7,11.8
2.37934,0.0,19.58,0,6,14.7,13.8
2.15505,0.0,19.58,0,5,14.7,15.6
2.36862,0.0,19.58,0,4,14.7,14.6
2.33099,0.0,19.58,0,5,14.7,17.8
2.73397,0.0,19.58,0,5,14.7,15.4
1.6566,0.0,19.58,0,6,14.7,21.5
1.49632,0.0,19.58,0,5,14.7,19.6
1.12658,0.0,19.58,1,5,14.7,15.3
2.14918,0.0,19.58,0,5,14.7,19.4
1.41385,0.0,19.58,1,6,14.7,17.0
3.53501,0.0,19.58,1,6,14.7,15.6
2.44668,0.0,19.58,0,5,14.7,13.1
1.22358,0.0,19.58,0,6,14.7,41.3
1.34284,0.0,19.58,0,6,14.7,24.3
1.42502,0.0,19.58,0,6,14.7,23.3
1.27346,0.0,19.58,1,6,14.7,27.0
2.24236,0.0,19.58,0,5,14.7,22.7
2.924,0.0,19.58,0,6,14.7,25.0
1.80028,0.0,19.58,0,5,14.7,23.8
2.3004,0.0,19.58,0,6,14.7,23.8
2.44953,0.0,19.58,0,6,14.7,22.3
1.20742,0.0,19.58,0,5,14.7,17.4
2.3139,0.0,19.58,0,5,14.7,19.1
0.13914,0.0,4.05,0,5,16.6,23.1
0.09178,0.0,4.05,0,6,16.6,23.6
0.08447,0.0,4.05,0,5,16.6,22.6
0.06664,0.0,4.05,0,6,16.6,29.4
0.07022,0.0,4.05,0,6,16.6,23.2
0.05425,0.0,4.05,0,6,16.6,24.6
0.06642,0.0,4.05,0,6,16.6,29.9
0.0578,0.0,2.46,0,6,17.8,37.2
0.06588,0.0,2.46,0,7,17.8,39.8
0.06888,0.0,2.46,0,6,17.8,36.2
0.09103,0.0,2.46,0,7,17.8,37.9
0.10008,0.0,2.46,0,6,17.8,32.5
0.08308,0.0,2.46,0,5,17.8,26.4
0.06047,0.0,2.46,0,6,17.8,29.6
0.07875,45.0,3.44,0,6,15.2,32.0
0.12579,45.0,3.44,0,6,15.2,29.8
0.0837,45.0,3.44,0,7,15.2,34.9
0.09068,45.0,3.44,0,6,15.2,33.0
0.06911,45.0,3.44,0,6,15.2,30.5
0.08664,45.0,3.44,0,7,15.2,36.4
0.02187,60.0,2.93,0,6,15.6,31.1
0.01439,60.0,2.93,0,6,15.6,29.1
0.04011,80.0,1.52,0,7,12.6,33.3
0.04666,80.0,1.52,0,7,12.6,30.3
0.03768,80.0,1.52,0,7,12.6,34.6
0.0315,95.0,1.47,0,6,17.0,34.9
0.01778,95.0,1.47,0,7,17.0,32.9
0.03445,82.5,2.03,0,6,14.7,24.1
0.02177,82.5,2.03,0,7,14.7,42.3
0.13642,0.0,10.59,0,5,18.6,22.6
0.22969,0.0,10.59,0,6,18.6,24.4
0.25199,0.0,10.59,0,5,18.6,22.5
0.13587,0.0,10.59,1,6,18.6,24.4
0.43571,0.0,10.59,1,5,18.6,20.0
0.17446,0.0,10.59,1,5,18.6,21.7
0.37578,0.0,10.59,1,5,18.6,19.3
0.21719,0.0,10.59,1,5,18.6,22.4
0.14052,0.0,10.59,0,6,18.6,28.1
0.28955,0.0,10.59,0,5,18.6,23.7
0.19802,0.0,10.59,0,6,18.6,25.0
0.0456,0.0,13.89,1,5,16.4,23.3
0.07013,0.0,13.89,0,6,16.4,28.7
0.11069,0.0,13.89,1,5,16.4,21.5
0.11425,0.0,13.89,1,6,16.4,23.0
0.35809,0.0,6.2,1,6,17.4,26.7
0.40771,0.0,6.2,1,6,17.4,21.7
0.62356,0.0,6.2,1,6,17.4,27.5
0.6147,0.0,6.2,0,6,17.4,30.1
0.31533,0.0,6.2,0,8,17.4,44.8
0.38214,0.0,6.2,0,8,17.4,37.6
0.41238,0.0,6.2,0,7,17.4,31.6
0.44178,0.0,6.2,0,6,17.4,31.5
0.537,0.0,6.2,0,5,17.4,24.3
0.46296,0.0,6.2,0,7,17.4,31.7
0.57529,0.0,6.2,0,8,17.4,41.7
0.44791,0.0,6.2,1,6,17.4,29.0
0.33045,0.0,6.2,0,6,17.4,24.0
0.52058,0.0,6.2,1,6,17.4,25.1
0.51183,0.0,6.2,0,7,17.4,31.5
0.08244,30.0,4.93,0,6,16.6,23.7
0.09252,30.0,4.93,0,6,16.6,23.3
0.11329,30.0,4.93,0,6,16.6,27.0
0.10612,30.0,4.93,0,6,16.6,20.1
0.1029,30.0,4.93,0,6,16.6,22.2
0.12757,30.0,4.93,0,6,16.6,23.7
0.20608,22.0,5.86,0,5,19.1,17.6
0.19133,22.0,5.86,0,5,19.1,18.5
0.33983,22.0,5.86,0,6,19.1,24.3
0.19657,22.0,5.86,0,6,19.1,20.5
0.16439,22.0,5.86,0,6,19.1,24.5
0.19073,22.0,5.86,0,6,19.1,26.2
0.1403,22.0,5.86,0,6,19.1,24.4
0.21409,22.0,5.86,0,6,19.1,24.8
0.08221,22.0,5.86,0,6,19.1,29.6
0.36894,22.0,5.86,0,8,19.1,42.8
0.04819,80.0,3.64,0,6,16.4,21.9
0.03548,80.0,3.64,0,5,16.4,20.9
0.01538,90.0,3.75,0,7,15.9,44.0
0.66351,20.0,3.97,0,7,13.0,36.0
0.65665,20.0,3.97,0,6,13.0,30.1
0.54011,20.0,3.97,0,7,13.0,33.8
0.53412,20.0,3.97,0,7,13.0,43.1
0.82526,20.0,3.97,0,7,13.0,31.0
0.55007,20.0,3.97,0,7,13.0,36.5
0.76162,20.0,3.97,0,5,13.0,22.8
0.7857,20.0,3.97,0,7,13.0,30.7
0.5405,20.0,3.97,0,7,13.0,43.5
0.09065,20.0,6.96,1,5,18.6,20.7
0.29916,20.0,6.96,0,5,18.6,21.1
0.16211,20.0,6.96,0,6,18.6,25.2
0.1146,20.0,6.96,0,6,18.6,24.4
0.22188,20.0,6.96,1,7,18.6,35.2
0.05644,40.0,6.41,1,6,17.6,32.4
0.09604,40.0,6.41,0,6,17.6,32.0
0.10469,40.0,6.41,1,7,17.6,33.2
0.06127,40.0,6.41,1,6,17.6,33.1
0.07978,40.0,6.41,0,6,17.6,29.1
0.21038,20.0,3.33,0,6,14.9,35.1
0.03578,20.0,3.33,0,7,14.9,45.4
0.03705,20.0,3.33,0,6,14.9,35.4
0.06129,20.0,3.33,1,7,14.9,46.0
0.00906,90.0,2.97,0,7,15.3,32.2
0.01096,55.0,2.25,0,6,15.3,22.0
0.01965,80.0,1.76,0,6,18.2,20.1
0.03871,52.5,5.32,0,6,16.6,23.2
0.0459,52.5,5.32,0,6,16.6,22.3
0.04297,52.5,5.32,0,6,16.6,24.8
0.03502,80.0,4.95,0,6,19.2,28.5
0.07886,80.0,4.95,0,7,19.2,37.3
0.03615,80.0,4.95,0,6,19.2,27.9
0.08265,0.0,13.92,0,6,16.0,23.9
0.08199,0.0,13.92,0,6,16.0,21.7
0.12932,0.0,13.92,0,6,16.0,28.6
0.05372,0.0,13.92,0,6,16.0,27.1
0.14103,0.0,13.92,0,5,16.0,20.3
0.06466,70.0,2.24,0,6,14.8,22.5
0.05561,70.0,2.24,0,7,14.8,29.0
0.04417,70.0,2.24,0,6,14.8,24.8
0.03537,34.0,6.09,0,6,16.1,22.0
0.09266,34.0,6.09,0,6,16.1,26.4
0.1,34.0,6.09,0,6,16.1,33.1
0.05515,33.0,2.18,0,7,18.4,36.1
0.05479,33.0,2.18,0,6,18.4,28.4
0.07503,33.0,2.18,0,7,18.4,33.4
0.04932,33.0,2.18,0,6,18.4,28.2
0.49298,0.0,9.9,0,6,18.4,22.8
0.3494,0.0,9.9,0,5,18.4,20.3
2.63548,0.0,9.9,0,4,18.4,16.1
0.79041,0.0,9.9,0,6,18.4,22.1
0.26169,0.0,9.9,0,6,18.4,19.4
0.26938,0.0,9.9,0,6,18.4,21.6
0.3692,0.0,9.9,0,6,18.4,23.8
0.25356,0.0,9.9,0,5,18.4,16.2
0.31827,0.0,9.9,0,5,18.4,17.8
0.24522,0.0,9.9,0,5,18.4,19.8
0.40202,0.0,9.9,0,6,18.4,23.1
0.47547,0.0,9.9,0,6,18.4,21.0
0.1676,0.0,7.38,0,6,19.6,23.8
0.18159,0.0,7.38,0,6,19.6,23.1
0.35114,0.0,7.38,0,6,19.6,20.4
0.28392,0.0,7.38,0,5,19.6,18.5
0.34109,0.0,7.38,0,6,19.6,25.0
0.19186,0.0,7.38,0,6,19.6,24.6
0.30347,0.0,7.38,0,6,19.6,23.0
0.24103,0.0,7.38,0,6,19.6,22.2
0.06617,0.0,3.24,0,5,16.9,19.3
0.06724,0.0,3.24,0,6,16.9,22.6
0.04544,0.0,3.24,0,6,16.9,19.8
0.05023,35.0,6.06,0,5,16.9,17.1
0.03466,35.0,6.06,0,6,16.9,19.4
0.05083,0.0,5.19,0,6,20.2,22.2
0.03738,0.0,5.19,0,6,20.2,20.7
0.03961,0.0,5.19,0,6,20.2,21.1
0.03427,0.0,5.19,0,5,20.2,19.5
0.03041,0.0,5.19,0,5,20.2,18.5
0.03306,0.0,5.19,0,6,20.2,20.6
0.05497,0.0,5.19,0,5,20.2,19.0
0.06151,0.0,5.19,0,5,20.2,18.7
0.01301,35.0,1.52,0,7,15.5,32.7
0.02498,0.0,1.89,0,6,15.9,16.5
0.02543,55.0,3.78,0,6,17.6,23.9
0.03049,55.0,3.78,0,6,17.6,31.2
0.03113,0.0,4.39,0,6,18.8,17.5
0.06162,0.0,4.39,0,5,18.8,17.2
0.0187,85.0,4.15,0,6,17.9,23.1
0.01501,80.0,2.01,0,6,17.0,24.5
0.02899,40.0,1.25,0,6,19.7,26.6
0.06211,40.0,1.25,0,6,19.7,22.9
0.0795,60.0,1.69,0,6,18.3,24.1
0.07244,60.0,1.69,0,5,18.3,18.6
0.01709,90.0,2.02,0,6,17.0,30.1
0.04301,80.0,1.91,0,5,22.0,18.2
0.10659,80.0,1.91,0,5,22.0,20.6
8.98296,0.0,18.1,1,6,20.2,17.8
3.8497,0.0,18.1,1,6,20.2,21.7
5.20177,0.0,18.1,1,6,20.2,22.7
4.26131,0.0,18.1,0,6,20.2,22.6
4.54192,0.0,18.1,0,6,20.2,25.0
3.83684,0.0,18.1,0,6,20.2,19.9
3.67822,0.0,18.1,0,5,20.2,20.8
4.22239,0.0,18.1,1,5,20.2,16.8
3.47428,0.0,18.1,1,8,20.2,21.9
4.55587,0.0,18.1,0,3,20.2,27.5
3.69695,0.0,18.1,0,4,20.2,21.9
13.5222,0.0,18.1,0,3,20.2,23.1
11.1081,0.0,18.1,0,4,20.2,13.8
18.4982,0.0,18.1,0,4,20.2,13.8
19.6091,0.0,18.1,0,7,20.2,15.0
15.288,0.0,18.1,0,6,20.2,13.9
9.82349,0.0,18.1,0,6,20.2,13.3
23.6482,0.0,18.1,0,6,20.2,13.1
17.8667,0.0,18.1,0,6,20.2,10.2
88.9762,0.0,18.1,0,6,20.2,10.4
15.8744,0.0,18.1,0,6,20.2,10.9
9.18702,0.0,18.1,0,5,20.2,11.3
7.99248,0.0,18.1,0,5,20.2,12.3
20.0849,0.0,18.1,0,4,20.2,8.8
16.8118,0.0,18.1,0,5,20.2,7.2
24.3938,0.0,18.1,0,4,20.2,10.5
22.5971,0.0,18.1,0,5,20.2,7.4
14.3337,0.0,18.1,0,4,20.2,10.2
8.15174,0.0,18.1,0,5,20.2,11.5
6.96215,0.0,18.1,0,5,20.2,15.1
5.29305,0.0,18.1,0,6,20.2,23.2
11.5779,0.0,18.1,0,5,20.2,9.7
8.64476,0.0,18.1,0,6,20.2,13.8
13.3598,0.0,18.1,0,5,20.2,12.7
8.71675,0.0,18.1,0,6,20.2,13.1
5.87205,0.0,18.1,0,6,20.2,12.5
7.67202,0.0,18.1,0,5,20.2,8.5
38.3518,0.0,18.1,0,5,20.2,5.0
9.91655,0.0,18.1,0,5,20.2,6.3
25.0461,0.0,18.1,0,5,20.2,5.6
14.2362,0.0,18.1,0,6,20.2,7.2
9.59571,0.0,18.1,0,6,20.2,12.1
24.8017,0.0,18.1,0,5,20.2,8.3
41.5292,0.0,18.1,0,5,20.2,8.5
67.9208,0.0,18.1,0,5,20.2,5.0
20.7162,0.0,18.1,0,4,20.2,11.9
11.9511,0.0,18.1,0,5,20.2,27.9
7.40389,0.0,18.1,0,5,20.2,17.2
14.4383,0.0,18.1,0,6,20.2,27.5
51.1358,0.0,18.1,0,5,20.2,15.0
14.0507,0.0,18.1,0,6,20.2,17.2
18.811,0.0,18.1,0,4,20.2,17.9
28.6558,0.0,18.1,0,5,20.2,16.3
45.7461,0.0,18.1,0,4,20.2,7.0
18.0846,0.0,18.1,0,6,20.2,7.2
10.8342,0.0,18.1,0,6,20.2,7.5
25.9406,0.0,18.1,0,5,20.2,10.4
73.5341,0.0,18.1,0,5,20.2,8.8
11.8123,0.0,18.1,0,6,20.2,8.4
11.0874,0.0,18.1,0,6,20.2,16.7
7.02259,0.0,18.1,0,6,20.2,14.2
12.0482,0.0,18.1,0,5,20.2,20.8
7.05042,0.0,18.1,0,6,20.2,13.4
8.79212,0.0,18.1,0,5,20.2,11.7
15.8603,0.0,18.1,0,5,20.2,8.3
12.2472,0.0,18.1,0,5,20.2,10.2
37.6619,0.0,18.1,0,6,20.2,10.9
7.36711,0.0,18.1,0,6,20.2,11.0
9.33889,0.0,18.1,0,6,20.2,9.5
8.49213,0.0,18.1,0,6,20.2,14.5
10.0623,0.0,18.1,0,6,20.2,14.1
6.44405,0.0,18.1,0,6,20.2,16.1
5.58107,0.0,18.1,0,6,20.2,14.3
13.9134,0.0,18.1,0,6,20.2,11.7
11.1604,0.0,18.1,0,6,20.2,13.4
14.4208,0.0,18.1,0,6,20.2,9.6
15.1772,0.0,18.1,0,6,20.2,8.2
13.6781,0.0,18.1,0,5,20.2,8.4
9.39063,0.0,18.1,0,5,20.2,12.8
22.0511,0.0,18.1,0,5,20.2,10.5
9.72418,0.0,18.1,0,6,20.2,17.1
5.66637,0.0,18.1,0,6,20.2,14.8
9.96654,0.0,18.1,0,6,20.2,15.4
12.8023,0.0,18.1,0,5,20.2,10.8
10.6718,0.0,18.1,0,6,20.2,11.8
6.28807,0.0,18.1,0,6,20.2,14.9
9.92485,0.0,18.1,0,6,20.2,12.6
9.32909,0.0,18.1,0,6,20.2,14.1
7.52601,0.0,18.1,0,6,20.2,13.0
6.71772,0.0,18.1,0,6,20.2,13.4
5.44114,0.0,18.1,0,6,20.2,15.2
5.09017,0.0,18.1,0,6,20.2,16.1
8.24809,0.0,18.1,0,7,20.2,17.8
9.51363,0.0,18.1,0,6,20.2,14.4
4.75237,0.0,18.1,0,6,20.2,14.1
4.66883,0.0,18.1,0,5,20.2,12.7
8.20058,0.0,18.1,0,5,20.2,13.5
7.75223,0.0,18.1,0,6,20.2,14.9
6.80117,0.0,18.1,0,6,20.2,20.0
4.81213,0.0,18.1,0,6,20.2,16.4
3.69311,0.0,18.1,0,6,20.2,17.7
6.65492,0.0,18.1,0,6,20.2,19.5
5.82115,0.0,18.1,0,6,20.2,20.2
7.83932,0.0,18.1,0,6,20.2,21.4
3.1636,0.0,18.1,0,5,20.2,19.9
3.77498,0.0,18.1,0,5,20.2,19.0
4.42228,0.0,18.1,0,6,20.2,19.1
15.5757,0.0,18.1,0,5,20.2,19.1
13.0751,0.0,18.1,0,5,20.2,20.1
4.34879,0.0,18.1,0,6,20.2,19.9
4.03841,0.0,18.1,0,6,20.2,19.6
3.56868,0.0,18.1,0,6,20.2,23.2
4.64689,0.0,18.1,0,6,20.2,29.8
8.05579,0.0,18.1,0,5,20.2,13.8
6.39312,0.0,18.1,0,6,20.2,13.3
4.87141,0.0,18.1,0,6,20.2,16.7
15.0234,0.0,18.1,0,5,20.2,12.0
10.233,0.0,18.1,0,6,20.2,14.6
14.3337,0.0,18.1,0,6,20.2,21.4
5.82401,0.0,18.1,0,6,20.2,23.0
5.70818,0.0,18.1,0,6,20.2,23.7
5.73116,0.0,18.1,0,7,20.2,25.0
2.81838,0.0,18.1,0,5,20.2,21.8
2.37857,0.0,18.1,0,5,20.2,20.6
3.67367,0.0,18.1,0,6,20.2,21.2
5.69175,0.0,18.1,0,6,20.2,19.1
4.83567,0.0,18.1,0,5,20.2,20.6
0.15086,0.0,27.74,0,5,20.1,15.2
0.18337,0.0,27.74,0,5,20.1,7.0
0.20746,0.0,27.74,0,5,20.1,8.1
0.10574,0.0,27.74,0,5,20.1,13.6
0.11132,0.0,27.74,0,5,20.1,20.1
0.17331,0.0,9.69,0,5,19.2,21.8
0.27957,0.0,9.69,0,5,19.2,24.5
0.17899,0.0,9.69,0,5,19.2,23.1
0.2896,0.0,9.69,0,5,19.2,19.7
0.26838,0.0,9.69,0,5,19.2,18.3
0.23912,0.0,9.69,0,6,19.2,21.2
0.17783,0.0,9.69,0,5,19.2,17.5
0.22438,0.0,9.69,0,6,19.2,16.8
0.06263,0.0,11.93,0,6,21.0,22.4
0.04527,0.0,11.93,0,6,21.0,20.6
0.06076,0.0,11.93,0,6,21.0,23.9
0.10959,0.0,11.93,0,6,21.0,22.0
0.04741,0.0,11.93,0,6,21.0,19.0
